year,month,ts,fishery,bin,value,week
1988,11,148,8,158,0,1
1988,11,148,8,160,0,1
1988,11,148,8,162,0,1
1988,11,148,8,164,0,1
1988,11,148,8,166,0,1
1988,11,148,8,168,0,1
1988,11,148,8,170,0,1
1988,11,148,8,172,0,1
1988,11,148,8,174,0,1
1988,11,148,8,176,0,1
1988,11,148,8,178,0,1
1988,11,148,8,180,0,1
1988,11,148,8,182,0,1
1988,11,148,8,184,0,1
1988,11,148,8,186,0,1
1988,11,148,8,188,0,1
1988,11,148,8,190,0,1
1988,11,148,8,192,0,1
1988,11,148,8,194,0,1
1988,11,148,8,196,0,1
1988,11,148,8,198,0,1
1989,2,149,8,10,0,1
1989,2,149,8,12,0,1
1989,2,149,8,14,0,1
1989,2,149,8,16,0,1
1989,2,149,8,18,0,1
1989,2,149,8,20,0,1
1989,2,149,8,22,0,1
1989,2,149,8,24,0,1
1989,2,149,8,26,0,1
1989,2,149,8,28,0,1
1989,2,149,8,30,0,1
1989,2,149,8,32,0,1
1989,2,149,8,34,0,1
1989,2,149,8,36,0,1
1989,2,149,8,38,0,1
1989,2,149,8,40,5.94835205709683,1
1989,2,149,8,42,27.6020937550434,1
1989,2,149,8,44,58.4953137851726,1
1989,2,149,8,46,127.904761470614,1
1989,2,149,8,48,297.746070387092,1
1989,2,149,8,50,421.954284384583,1
1989,2,149,8,52,383.561998742572,1
1989,2,149,8,54,175.950215855032,1
1989,2,149,8,56,80.0047894375019,1
1989,2,149,8,58,27.4082293333445,1
1989,2,149,8,60,19.9019510999518,1
1989,2,149,8,62,25.7233082942262,1
1989,2,149,8,64,13.5328691975331,1
1989,2,149,8,66,13.5421339734459,1
1989,2,149,8,68,3.88924580140631,1
1989,2,149,8,70,9.41516789064879,1
1989,2,149,8,72,6.68646521208347,1
1989,2,149,8,74,3.7716472423254,1
1989,2,149,8,76,1.86275758506937,1
1989,2,149,8,78,3.63325102576542,1
1989,2,149,8,80,0,1
1989,2,149,8,82,0,1
1989,2,149,8,84,0,1
1989,2,149,8,86,0,1
1989,2,149,8,88,0,1
1989,2,149,8,90,0,1
1989,2,149,8,92,0,1
1989,2,149,8,94,0,1
1989,2,149,8,96,0,1
1989,2,149,8,98,0,1
1989,2,149,8,100,0,1
1989,2,149,8,102,0,1
1989,2,149,8,104,0,1
1989,2,149,8,106,0,1
1989,2,149,8,108,0,1
1989,2,149,8,110,0,1
1989,2,149,8,112,0,1
1989,2,149,8,114,0,1
1989,2,149,8,116,0,1
1989,2,149,8,118,0,1
1989,2,149,8,120,0,1
1989,2,149,8,122,0,1
1989,2,149,8,124,0,1
1989,2,149,8,126,0,1
1989,2,149,8,128,0,1
1989,2,149,8,130,0,1
1989,2,149,8,132,0,1
1989,2,149,8,134,0,1
1989,2,149,8,136,0,1
1989,2,149,8,138,0,1
1989,2,149,8,140,0,1
1989,2,149,8,142,0,1
1989,2,149,8,144,0,1
1989,2,149,8,146,0,1
1989,2,149,8,148,0,1
1989,2,149,8,150,0,1
1989,2,149,8,152,0,1
1989,2,149,8,154,0,1
1989,2,149,8,156,0,1
1989,2,149,8,158,0,1
1989,2,149,8,160,0,1
1989,2,149,8,162,0,1
1989,2,149,8,164,0,1
1989,2,149,8,166,0,1
1989,2,149,8,168,0,1
1989,2,149,8,170,0,1
1989,2,149,8,172,0,1
1989,2,149,8,174,0,1
1989,2,149,8,176,0,1
1989,2,149,8,178,0,1
1989,2,149,8,180,0,1
1989,2,149,8,182,0,1
1989,2,149,8,184,0,1
1989,2,149,8,186,0,1
1989,2,149,8,188,0,1
1989,2,149,8,190,0,1
1989,2,149,8,192,0,1
1989,2,149,8,194,0,1
1989,2,149,8,196,0,1
1989,2,149,8,198,0,1
1989,5,150,8,10,0,1
1989,5,150,8,12,0,1
1989,5,150,8,14,0,1
1989,5,150,8,16,0,1
1989,5,150,8,18,0,1
1989,5,150,8,20,0,1
1989,5,150,8,22,0,1
1989,5,150,8,24,0,1
1989,5,150,8,26,0,1
1989,5,150,8,28,0,1
1989,5,150,8,30,0,1
1989,5,150,8,32,0,1
1989,5,150,8,34,0,1
1989,5,150,8,36,1.46735052651317,1
1989,5,150,8,38,0.858125239720722,1
1989,5,150,8,40,3.61711582596462,1
1989,5,150,8,42,4.01247066199791,1
1989,5,150,8,44,18.1270336753488,1
1989,5,150,8,46,45.9977147862385,1
1989,5,150,8,48,98.8294982025252,1
1989,5,150,8,50,274.12647325229,1
1989,5,150,8,52,414.568600199896,1
1989,5,150,8,54,381.409235118428,1
1989,5,150,8,56,190.717547973911,1
1989,5,150,8,58,104.033184802088,1
1989,5,150,8,60,75.0788033691276,1
1989,5,150,8,62,45.9040170328419,1
1989,5,150,8,64,51.2148173979977,1
1989,5,150,8,66,46.7950903321352,1
1989,5,150,8,68,46.8103628906072,1
1989,5,150,8,70,42.6757654126296,1
1989,5,150,8,72,47.2855306249418,1
1989,5,150,8,74,70.4832839437166,1
1989,5,150,8,76,31.5666246461767,1
1989,5,150,8,78,61.4703592656139,1
1989,5,150,8,80,51.3130767931082,1
1989,5,150,8,82,42.4420102492864,1
1989,5,150,8,84,29.5684564547555,1
1989,5,150,8,86,20.7674413833158,1
1989,5,150,8,88,5.9101113974397,1
1989,5,150,8,90,0,1
1989,5,150,8,92,0.733675263256585,1
1989,5,150,8,94,0,1
1989,5,150,8,96,0,1
1989,5,150,8,98,0,1
1989,5,150,8,100,0,1
1989,5,150,8,102,0,1
1989,5,150,8,104,0,1
1989,5,150,8,106,0,1
1989,5,150,8,108,0.777472642282982,1
1989,5,150,8,110,0,1
1989,5,150,8,112,0,1
1989,5,150,8,114,0,1
1989,5,150,8,116,0,1
1989,5,150,8,118,0,1
1989,5,150,8,120,0,1
1989,5,150,8,122,0,1
1989,5,150,8,124,0,1
1989,5,150,8,126,0,1
1989,5,150,8,128,0,1
1989,5,150,8,130,0,1
1989,5,150,8,132,0,1
1989,5,150,8,134,0,1
1989,5,150,8,136,0,1
1989,5,150,8,138,0,1
1989,5,150,8,140,0,1
1989,5,150,8,142,0,1
1989,5,150,8,144,0,1
1989,5,150,8,146,0,1
1989,5,150,8,148,0,1
1989,5,150,8,150,0,1
1989,5,150,8,152,0,1
1989,5,150,8,154,0,1
1989,5,150,8,156,0,1
1989,5,150,8,158,0,1
1989,5,150,8,160,0,1
1989,5,150,8,162,0,1
1989,5,150,8,164,0,1
1989,5,150,8,166,0,1
1989,5,150,8,168,0,1
1989,5,150,8,170,0,1
1989,5,150,8,172,0,1
1989,5,150,8,174,0,1
1989,5,150,8,176,0,1
1989,5,150,8,178,0,1
1989,5,150,8,180,0,1
1989,5,150,8,182,0,1
1989,5,150,8,184,0,1
1989,5,150,8,186,0,1
1989,5,150,8,188,0,1
1989,5,150,8,190,0,1
1989,5,150,8,192,0,1
1989,5,150,8,194,0,1
1989,5,150,8,196,0,1
1989,5,150,8,198,0,1
1989,8,151,8,10,0,1
1989,8,151,8,12,0,1
1989,8,151,8,14,0,1
1989,8,151,8,16,0,1
1989,8,151,8,18,0,1
1989,8,151,8,20,0,1
1989,8,151,8,22,0,1
1989,8,151,8,24,0,1
1989,8,151,8,26,0,1
1989,8,151,8,28,0,1
1989,8,151,8,30,0,1
1989,8,151,8,32,0,1
1989,8,151,8,34,0,1
1989,8,151,8,36,0,1
1989,8,151,8,38,0,1
1989,8,151,8,40,0,1
1989,8,151,8,42,0,1
1989,8,151,8,44,0,1
1989,8,151,8,46,0,1
1989,8,151,8,48,6,1
1989,8,151,8,50,25.4446650712885,1
1989,8,151,8,52,61.1309313264628,1
1989,8,151,8,54,103.916110320235,1
1989,8,151,8,56,101.954795805808,1
1989,8,151,8,58,81.2554921333973,1
1989,8,151,8,60,32.7258052730221,1
1989,8,151,8,62,11.0915404977051,1
1989,8,151,8,64,6,1
1989,8,151,8,66,0,1
1989,8,151,8,68,3,1
1989,8,151,8,70,1.09154049770507,1
1989,8,151,8,72,1,1
1989,8,151,8,74,5.45770248852533,1
1989,8,151,8,76,1,1
1989,8,151,8,78,3.09154049770507,1
1989,8,151,8,80,13.8238644793456,1
1989,8,151,8,82,15.9154049770507,1
1989,8,151,8,84,18.373107465576,1
1989,8,151,8,86,14.8238644793456,1
1989,8,151,8,88,9.2746214931152,1
1989,8,151,8,90,0,1
1989,8,151,8,92,0,1
1989,8,151,8,94,1.09154049770507,1
1989,8,151,8,96,2,1
1989,8,151,8,98,0,1
1989,8,151,8,100,0,1
1989,8,151,8,102,1.09154049770507,1
1989,8,151,8,104,0,1
1989,8,151,8,106,0,1
1989,8,151,8,108,0,1
1989,8,151,8,110,0,1
1989,8,151,8,112,0,1
1989,8,151,8,114,0,1
1989,8,151,8,116,0,1
1989,8,151,8,118,0,1
1989,8,151,8,120,0,1
1989,8,151,8,122,0,1
1989,8,151,8,124,0,1
1989,8,151,8,126,0,1
1989,8,151,8,128,0,1
1989,8,151,8,130,0,1
1989,8,151,8,132,0,1
1989,8,151,8,134,0,1
1989,8,151,8,136,0,1
1989,8,151,8,138,0,1
1989,8,151,8,140,0,1
1989,8,151,8,142,0,1
1989,8,151,8,144,0,1
1989,8,151,8,146,0,1
1989,8,151,8,148,0,1
1989,8,151,8,150,0,1
1989,8,151,8,152,0,1
1989,8,151,8,154,0,1
1989,8,151,8,156,0,1
1989,8,151,8,158,0,1
1989,8,151,8,160,0,1
1989,8,151,8,162,0,1
1989,8,151,8,164,0,1
1989,8,151,8,166,0,1
1989,8,151,8,168,0,1
1989,8,151,8,170,0,1
1989,8,151,8,172,0,1
1989,8,151,8,174,0,1
1989,8,151,8,176,0,1
1989,8,151,8,178,0,1
1989,8,151,8,180,0,1
1989,8,151,8,182,0,1
1989,8,151,8,184,0,1
1989,8,151,8,186,0,1
1989,8,151,8,188,0,1
1989,8,151,8,190,0,1
1989,8,151,8,192,0,1
1989,8,151,8,194,0,1
1989,8,151,8,196,0,1
1989,8,151,8,198,0,1
1989,11,152,8,10,0,1
1989,11,152,8,12,0,1
1989,11,152,8,14,0,1
1989,11,152,8,16,0,1
1989,11,152,8,18,0,1
1989,11,152,8,20,0,1
1989,11,152,8,22,0,1
1989,11,152,8,24,0,1
1989,11,152,8,26,0,1
1989,11,152,8,28,0,1
1989,11,152,8,30,0,1
1989,11,152,8,32,0,1
1989,11,152,8,34,0,1
1989,11,152,8,36,0,1
1989,11,152,8,38,2.13580551808,1
1989,11,152,8,40,10.6464644468022,1
1989,11,152,8,42,54.3769359199239,1
1989,11,152,8,44,101.080367680851,1
1989,11,152,8,46,74.7860508451061,1
1989,11,152,8,48,46.4229040209015,1
1989,11,152,8,50,34.5426862041837,1
1989,11,152,8,52,31.899546871348,1
1989,11,152,8,54,32.506773183296,1
1989,11,152,8,56,42.9874484439779,1
1989,11,152,8,58,33.1560477369653,1
1989,11,152,8,60,19.5005052091255,1
1989,11,152,8,62,7.531890129448,1
1989,11,152,8,64,6.37461941979391,1
1989,11,152,8,66,9.34096076544173,1
1989,11,152,8,68,5.54612415062849,1
1989,11,152,8,70,7.29166073180604,1
1989,11,152,8,72,1.53966861403553,1
1989,11,152,8,74,6.13439002215195,1
1989,11,152,8,76,12.4109485510434,1
1989,11,152,8,78,16.4803759939985,1
1989,11,152,8,80,32.3381246859737,1
1989,11,152,8,82,18.1431174869671,1
1989,11,152,8,84,43.6299278512809,1
1989,11,152,8,86,59.1091777425639,1
1989,11,152,8,88,51.6611108712229,1
1989,11,152,8,90,45.3115034394595,1
1989,11,152,8,92,20.3926697433783,1
1989,11,152,8,94,5.49177413269536,1
1989,11,152,8,96,2.45670992604766,1
1989,11,152,8,98,0,1
1989,11,152,8,100,0.622627302023392,1
1989,11,152,8,102,0,1
1989,11,152,8,104,0,1
1989,11,152,8,106,0.622627302023392,1
1989,11,152,8,108,0,1
1989,11,152,8,110,0,1
1989,11,152,8,112,0,1
1989,11,152,8,114,0,1
1989,11,152,8,116,0,1
1989,11,152,8,118,0,1
1989,11,152,8,120,0,1
1989,11,152,8,122,0,1
1989,11,152,8,124,0,1
1989,11,152,8,126,0,1
1989,11,152,8,128,0,1
1989,11,152,8,130,0,1
1989,11,152,8,132,0,1
1989,11,152,8,134,0,1
1989,11,152,8,136,0,1
1989,11,152,8,138,0,1
1989,11,152,8,140,0,1
1989,11,152,8,142,0,1
1989,11,152,8,144,0,1
1989,11,152,8,146,0,1
1989,11,152,8,148,0,1
1989,11,152,8,150,0,1
1989,11,152,8,152,0,1
1989,11,152,8,154,0,1
1989,11,152,8,156,0,1
1989,11,152,8,158,0,1
1989,11,152,8,160,0,1
1989,11,152,8,162,0,1
1989,11,152,8,164,0,1
1989,11,152,8,166,0,1
1989,11,152,8,168,0,1
1989,11,152,8,170,0,1
1989,11,152,8,172,0,1
1989,11,152,8,174,0,1
1989,11,152,8,176,0,1
1989,11,152,8,178,0,1
1989,11,152,8,180,0,1
1989,11,152,8,182,0,1
1989,11,152,8,184,0,1
1989,11,152,8,186,0,1
1989,11,152,8,188,0,1
1989,11,152,8,190,0,1
1989,11,152,8,192,0,1
1989,11,152,8,194,0,1
1989,11,152,8,196,0,1
1989,11,152,8,198,0,1
1990,2,153,8,10,0,1
1990,2,153,8,12,0,1
1990,2,153,8,14,0,1
1990,2,153,8,16,0,1
1990,2,153,8,18,0,1
1990,2,153,8,20,0,1
1990,2,153,8,22,0,1
1990,2,153,8,24,0,1
1990,2,153,8,26,0,1
1990,2,153,8,28,0,1
1990,2,153,8,30,0,1
1990,2,153,8,32,0,1
1990,2,153,8,34,0,1
1990,2,153,8,36,1.55401323999245,1
1990,2,153,8,38,1.66310737872629,1
1990,2,153,8,40,23.5595081314258,1
1990,2,153,8,42,43.6646648707791,1
1990,2,153,8,44,171.342992993824,1
1990,2,153,8,46,301.661470478387,1
1990,2,153,8,48,404.339900772239,1
1990,2,153,8,50,446.650550532829,1
1990,2,153,8,52,240.55979187078,1
1990,2,153,8,54,145.863996104982,1
1990,2,153,8,56,51.6339774173221,1
1990,2,153,8,58,28.623013935855,1
1990,2,153,8,60,37.9715656080086,1
1990,2,153,8,62,16.5624266612661,1
1990,2,153,8,64,27.7475016090162,1
1990,2,153,8,66,21.4644291930177,1
1990,2,153,8,68,20.2539544684416,1
1990,2,153,8,70,39.3564710141241,1
1990,2,153,8,72,25.1654923677359,1
1990,2,153,8,74,16.5134355502123,1
1990,2,153,8,76,3.49597670145953,1
1990,2,153,8,78,1.275727864126,1
1990,2,153,8,80,3.90165167041816,1
1990,2,153,8,82,0.870052895167374,1
1990,2,153,8,84,2.92053978849395,1
1990,2,153,8,86,5.80067207409612,1
1990,2,153,8,88,3.2858072545608,1
1990,2,153,8,90,4.75340911122719,1
1990,2,153,8,92,9.89024396639263,1
1990,2,153,8,94,10.8309483454251,1
1990,2,153,8,96,8.69950926982798,1
1990,2,153,8,98,7.98726979205263,1
1990,2,153,8,100,10.8274040305344,1
1990,2,153,8,102,39.613596242927,1
1990,2,153,8,104,34.369683636186,1
1990,2,153,8,106,23.608938605666,1
1990,2,153,8,108,7.86240450518829,1
1990,2,153,8,110,0,1
1990,2,153,8,112,0,1
1990,2,153,8,114,0,1
1990,2,153,8,116,2.68462676354228,1
1990,2,153,8,118,0,1
1990,2,153,8,120,0,1
1990,2,153,8,122,0,1
1990,2,153,8,124,2.68462676354228,1
1990,2,153,8,126,0,1
1990,2,153,8,128,0,1
1990,2,153,8,130,0,1
1990,2,153,8,132,0,1
1990,2,153,8,134,0,1
1990,2,153,8,136,0,1
1990,2,153,8,138,0,1
1990,2,153,8,140,0,1
1990,2,153,8,142,0,1
1990,2,153,8,144,0,1
1990,2,153,8,146,0,1
1990,2,153,8,148,0,1
